Image Name,Focus Score (Daugman),Defocus Metric,Occlusion Percentage,Occlusion Score,Pixel Ratio,Estimated Pixels,Occluded Pixels,Pixel Count Score,Sharpness,Focus Score,Motion Blur Angle,Motion Blur Strength,Motion Blur Metric,Blur Score,Off-Angle Metric,Usable Area,Gray Level Spread,Iris Size,Dilation Metric,Dilation Score,Interlacing Score,Illumination Score,Lighting Score,Quality Score 1,Quality Score 2
C297_S1_I6.tiff,5.44,274167.0,100.02,0.96,0.39,1913.0,3024.0,4937.0,13.32,0.23,45.0,287.0,238735.25,13.5,2.52,25.02,4.9,46.81,86.59,0.97,55.83,0.04,15.76,0.64,0.68
C8_S2_I15.tiff,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C91_S2_I7.tiff,9.57,630219.0,100.02,0.95,0.76,4281.0,1356.0,5637.0,12.65,0.25,45.0,267.0,254904.2,10.5,5.89,78.02,5.28,55.19,46.88,0.99,53.51,0.05,27.24,0.65,0.68
C109_S2_I7.tiff,8.27,1311060.0,100.04,0.94,0.9,6604.0,698.0,7302.0,14.28,0.28,135.0,290.0,256380.61,10.5,8.88,91.1,5.47,52.69,29.84,1.0,53.13,0.06,55.63,0.64,0.71
C297_S1_I10.tiff,37.46,1215109.0,100.03,0.91,0.78,8341.0,2398.0,10739.0,20.29,0.3,45.0,291.0,289113.65,7.5,9.38,78.85,5.32,68.26,45.99,0.99,55.19,0.09,62.93,0.64,0.75
C419_S1_I6.tiff,14.34,1253676.0,97.85,0.93,0.35,2761.0,5071.0,7832.0,14.79,0.24,45.0,284.0,300953.36,10.5,3.3,54.23,6.29,61.62,67.65,0.98,55.27,0.07,117.63,0.64,0.71
C282_S1_I7.tiff,46.24,1913170.0,100.04,0.91,0.83,8575.0,1803.0,10378.0,23.81,0.49,135.0,282.0,300950.76,7.5,10.66,72.75,5.69,59.77,52.2,1.0,58.45,0.09,97.62,0.64,0.76
C361_S1_I1.tiff,4.1,739691.0,100.1,0.97,0.93,3836.0,286.0,4122.0,10.77,0.34,135.0,286.0,249546.69,10.5,10.39,93.46,5.65,40.4,25.56,1.0,48.73,0.03,33.99,0.64,0.67
C522_S2_I12.tiff,11.06,606504.0,100.12,0.93,0.42,3718.0,5184.0,8902.0,15.19,0.36,135.0,274.0,281051.1,13.5,1.21,43.13,5.44,83.04,75.41,0.98,53.71,0.07,42.75,0.66,0.79
C112_S2_I12.tiff,39.77,2670726.0,100.05,0.91,0.94,9807.0,603.0,10410.0,19.2,0.63,45.0,292.0,258417.76,7.5,10.65,93.97,6.01,61.49,24.56,1.0,55.0,0.09,210.97,0.65,0.73
C326_S1_I13.tiff,14.14,3826366.0,100.02,0.83,0.8,16126.0,3965.0,20091.0,15.43,0.21,45.0,281.0,277809.33,13.5,6.06,80.17,6.12,93.92,44.53,1.0,53.14,0.17,260.37,0.64,0.77
C19_S1_I3.tiff,5.79,1113845.0,100.05,0.96,0.93,4084.0,299.0,4383.0,12.91,0.2,45.0,283.0,282574.34,4.5,10.96,93.27,6.47,40.53,25.94,1.0,52.62,0.04,128.46,0.65,0.66
C466_S1_I8.tiff,11.76,854539.0,100.06,0.95,0.29,1862.0,4481.0,6343.0,13.01,0.84,45.0,277.0,244988.73,7.5,1.92,9.39,5.59,48.01,95.19,0.98,53.99,0.05,41.32,0.63,0.73
C148_S1_I5.tiff,65.45,3788561.0,90.72,0.85,0.71,12411.0,5116.0,17527.0,23.6,0.6,135.0,283.0,327390.81,10.5,6.85,81.67,6.59,102.14,42.81,0.99,55.58,0.15,430.21,0.63,0.79
